Model,Type,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,auc_roc,auc_pr,mcc,train_time_s,inference_ms,silhouette,davies_bouldin,calinski_harabasz,nmi
KMeans,clustering,,,,,,,,,8.7599,0.0001,0.1675,1.49,7050.8112,0.043
DBSCAN,clustering,,,,,,,,,0.6471,0.0,-0.0274,2.7686,739.7583,0.099
IsolationForest,clustering,,,,,,,,,1.0663,0.0102,,,,0.0217
AE+KMeans,clustering,,,,,,,,,34.3109,0.0001,0.2829,1.1032,15213.5004,0.0973
PlainHDBSCAN,clustering,,,,,,,,,54.2162,0.0,0.2013,2.4074,2612.8129,0.1176
XGBoost,classification,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.6994,0.0013,,,,
EvolveGCN,classification,0.5773,0.5561,0.5561,0.5815,0.5773,0.8894,0.6675,0.5002,2.1811,0.0,,,,
BERT4ETH,classification,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,229.4553,0.0017,,,,
GraphAE,clustering,,,,,,,,,0.2587,0.0,0.3419,1.1024,16544.9903,0.0364
AA-GNN,classification,0.4992,0.48,0.48,0.5326,0.4992,0.8462,0.5713,0.4101,0.9137,0.0,,,,
SPECTRA,classification,0.4036,0.1549,0.4074,0.2604,0.1931,0.4209,0.2975,0.325,2.0933,0.0,,,,
SPECTRA-noS,ablation,0.9102,0.3718,0.911,0.3557,0.4351,0.5732,0.3408,0.8318,,,,,,
SPECTRA-noVAE,ablation,0.916,0.3815,0.9135,0.4691,0.4009,0.5618,0.3436,0.8397,,,,,,
SPECTRA-noB,ablation,0.906,0.3636,0.9079,0.3493,0.4205,0.5497,0.338,0.8235,,,,,,
SPECTRA-noM,ablation,0.906,0.3636,0.9079,0.3493,0.4205,0.5507,0.338,0.8235,,,,,,
SPECTRA-noW,ablation,0.916,0.3815,0.9135,0.4691,0.4009,0.5618,0.3436,0.8397,,,,,,
SPECTRA-full,ablation,0.916,0.3806,0.9134,0.3996,0.4009,0.5545,0.3353,0.8397,,,,,,
SPECTRA-HDBSCAN,clustering,,,,,,,,,,,0.0177,3.5805,5595.7594,0.1118
