Model,Type,accuracy_orig,f1_macro_orig,f1_weighted_orig,precision_macro_orig,accuracy_fair,f1_macro_fair,f1_weighted_fair,precision_macro_fair
AA-GNN,classification,0.4992,0.48,0.48,0.5326,0.5114775227217173,0.49530777442721735,0.4953044478873715,0.5534721151889898
AE+KMeans,clustering,,,,,,,,
BERT4ETH,classification,1.0,1.0,1.0,1.0,0.9997555609875336,0.9997555673980253,0.9997555654220035,0.9997556355156725
DBSCAN,clustering,,,,,,,,
EvolveGCN,classification,0.5773,0.5561,0.5561,0.5815,0.5843647918935134,0.5691611656501422,0.5691570355904142,0.5954784021571612
GraphAE,clustering,,,,,,,,
IsolationForest,clustering,,,,,,,,
KMeans,clustering,,,,,,,,
PlainHDBSCAN,clustering,,,,,,,,
SPECTRA,classification,0.4036,0.1549,0.4074,0.2604,0.40355555555555556,0.15487078273055951,0.40739631165518053,0.26035229588544645
XGBoost,classification,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
