Model,Type,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,auc_roc,auc_pr,mcc,silhouette,davies_bouldin,calinski_harabasz,nmi,train_time_s,inference_ms
KMeans,clustering,,,,,,,,,0.1726684088278293,1.321406243497922,7457.678741628609,0.030667879691114758,3.958895499999926,5.6296526626472984e-05
DBSCAN,clustering,,,,,,,,,0.318334295295432,0.9167397524683102,3290.5364588170105,0.10787129721123707,0.6477381000004243,0.0
IsolationForest,clustering,,,,,,,,,,,,0.013874276127392405,0.8551311999981408,0.005191775738264207
AE+KMeans,clustering,,,,,,,,,0.32486602663993835,1.2795993831591732,15451.336728241862,0.09045090529447569,29.58468229999562,5.8860914208918294e-05
PlainHDBSCAN,clustering,,,,,,,,,0.3777740040656106,1.036945671085569,6603.8573294359185,0.12272234383868483,23.641070300000138,0.0
XGBoost,classification,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,3.9237422999940463,0.0014958334259215712
EvolveGCN,classification,0.5843647918935134,0.5691611656501422,0.5691570355904142,0.5954784021571612,0.5843712482780073,0.9062510724114148,0.7006260671204658,0.5086606454176243,,,,,2.207741000005626,4.211239754677533e-05
BERT4ETH,classification,0.9997555609875336,0.9997555673980253,0.9997555654220035,0.9997556355156725,0.9997555674058273,0.999999965038791,0.9999998253390118,0.9997066868104434,,,,,217.0689749000012,0.001676451634434863
GraphAE,clustering,,,,,,,,,0.6903052926063538,0.9405556714062587,18013.57319618322,0.02372769732229317,0.25974529999803053,3.6010310865589485e-05
AA-GNN,classification,0.5114775227217173,0.49530777442721735,0.4953044478873715,0.5534721151889898,0.5114835651542757,0.8561000782600706,0.5958136877239035,0.4249706153472238,,,,,1.0527032000027248,1.271749515512866e-05
SPECTRA,classification,0.40355555555555556,0.15487078273055951,0.40739631165518053,0.26035229588544645,0.19310759014765555,0.42091935311518386,0.2974887216505628,0.32503622774908875,,,,,2.093305100002908,0.0
